POS,player,matches,innings,overs,runs_conceded,wickets,best_bowling,bowl_avg,economy,bowl_sr,four_wickets,five_wickets,season,source
55,Liam Plunkett,7,7,25.0,225.0,4.0,3/17,56.25,9.0,37.5,0,0,2018,most_wickets
56,Karn Sharma,6,5,9.3,89.0,4.0,2/13,22.25,9.36,14.25,0,0,2018,most_wickets
57,Dhawal Kulkarni,8,8,19.5,188.0,4.0,2/32,47.0,9.47,29.75,0,0,2018,most_wickets
58,Washington Sundar,7,7,20.0,192.0,4.0,2/22,48.0,9.6,30.0,0,0,2018,most_wickets
59,Barinder Sran,6,6,22.0,229.0,4.0,2/50,57.25,10.4,33.0,0,0,2018,most_wickets
60,Avesh Khan,6,6,19.0,204.0,4.0,2/29,51.0,10.73,28.5,0,0,2018,most_wickets
61,Moeen Ali,5,5,13.1,97.0,3.0,1/13,32.33,7.36,26.33,0,0,2018,most_wickets
62,Murugan Ashwin,2,2,7.0,53.0,3.0,2/36,17.66,7.57,14.0,0,0,2018,most_wickets
63,Axar Patel,9,8,26.0,218.0,3.0,1/21,72.66,8.38,52.0,0,0,2018,most_wickets
64,Chris Morris,4,4,14.0,143.0,3.0,2/41,47.66,10.21,28.0,0,0,2018,most_wickets
65,Mohammad Shami,4,4,13.5,144.0,3.0,1/29,48.0,10.4,27.66,0,0,2018,most_wickets
66,Shahbaz Nadeem,6,6,15.0,161.0,3.0,2/34,53.66,10.73,30.0,0,0,2018,most_wickets
67,Marcus Stoinis,7,6,11.0,120.0,3.0,1/15,40.0,10.9,22.0,0,0,2018,most_wickets
68,KM Asif,2,2,6.0,75.0,3.0,2/43,25.0,12.5,12.0,0,0,2018,most_wickets
69,Corey Anderson,3,3,8.4,115.0,3.0,2/47,38.33,13.26,17.33,0,0,2018,most_wickets
70,Colin de Grandhomme,9,7,15.0,129.0,2.0,1/8,64.5,8.6,45.0,0,0,2018,most_wickets
71,David Willey,3,3,10.0,95.0,2.0,1/24,47.5,9.5,30.0,0,0,2018,most_wickets
72,Kulwant Khejroliya,3,3,10.5,107.0,2.0,2/33,53.5,9.87,32.5,0,0,2018,most_wickets
73,Ben Cutting,9,7,17.0,168.0,2.0,1/12,84.0,9.88,51.0,0,0,2018,most_wickets
74,Mitchell Johnson,6,6,21.0,216.0,2.0,1/30,108.0,10.28,63.0,0,0,2018,most_wickets
75,Javon Searles,4,3,7.0,89.0,2.0,1/24,44.5,12.71,21.0,0,0,2018,most_wickets
76,Vinay Kumar,2,2,3.5,65.0,2.0,2/30,32.5,16.95,11.5,0,0,2018,most_wickets
77,D'Arcy Short,7,2,3.0,19.0,1.0,1/10,19.0,6.33,18.0,0,0,2018,most_wickets
78,Yusuf Pathan,15,1,2.0,14.0,1.0,1/14,14.0,7.0,12.0,0,0,2018,most_wickets
79,Mohammad Nabi,2,2,5.0,47.0,1.0,1/23,47.0,9.4,30.0,0,0,2018,most_wickets
80,Anureet Singh,3,3,4.0,42.0,1.0,1/20,42.0,10.5,24.0,0,0,2018,most_wickets
81,Vijay Shankar,13,4,5.0,58.0,1.0,1/22,58.0,11.6,30.0,0,0,2018,most_wickets
82,Pawan Negi,2,2,4.0,49.0,1.0,1/36,49.0,12.25,24.0,0,0,2018,most_wickets
83,Chris Jordan,1,1,4.0,31.0,0.0,0/31,0.0,7.75,0.0,0,0,2018,most_wickets
84,Deepak Hooda,9,2,3.0,24.0,0.0,0/8,0.0,8.0,0.0,0,0,2018,most_wickets
85,Mahipal Lomror,2,2,3.0,27.0,0.0,0/8,0.0,9.0,0.0,0,0,2018,most_wickets
86,Pradeep Sangwan,1,1,2.0,19.0,0.0,0/19,0.0,9.5,0.0,0,0,2018,most_wickets
87,Manoj Tiwary,5,1,1.0,10.0,0.0,0/10,0.0,10.0,0.0,0,0,2018,most_wickets
88,Ankit Sharma,1,1,1.0,11.0,0.0,0/11,0.0,11.0,0.0,0,0,2018,most_wickets
89,Junior Dala,1,1,3.0,34.0,0.0,0/34,0.0,11.33,0.0,0,0,2018,most_wickets
90,Yuvraj Singh,8,2,2.0,23.0,0.0,0/10,0.0,11.5,0.0,0,0,2018,most_wickets
91,Akila Dananjaya,1,1,4.0,47.0,0.0,0/47,0.0,11.75,0.0,0,0,2018,most_wickets
92,JP Duminy,6,2,3.0,36.0,0.0,0/8,0.0,12.0,0.0,0,0,2018,most_wickets
93,Mark Wood,1,1,4.0,49.0,0.0,0/49,0.0,12.25,0.0,0,0,2018,most_wickets
94,Khaleel Ahmed,1,1,3.0,38.0,0.0,0/38,0.0,12.66,0.0,0,0,2018,most_wickets
95,Stuart Binny,7,1,2.0,33.0,0.0,0/33,0.0,16.5,0.0,0,0,2018,most_wickets
1,Imran Tahir,17,17,64.2,431.0,26.0,4/12,16.57,6.69,14.84,2,0,2019,most_wickets
2,Kagiso Rabada,12,12,47.0,368.0,25.0,4/21,14.72,7.82,11.28,2,0,2019,most_wickets
