POS,player,matches,innings,overs,runs_conceded,wickets,best_bowling,bowl_avg,economy,bowl_sr,four_wickets,five_wickets,season,source
1,Sohail Tanvir,11,11,41.1,266.0,22.0,6/14,12.09,6.46,11.22,1,1,2008,most_wickets
2,Shane Warne,15,15,52.0,404.0,19.0,3/19,21.26,7.76,16.42,0,0,2008,most_wickets
3,Shanthakumaran Sreesanth,15,15,51.1,442.0,19.0,3/29,23.26,8.63,16.15,0,0,2008,most_wickets
4,Shane Watson,15,15,54.1,383.0,17.0,3/10,22.52,7.07,19.11,0,0,2008,most_wickets
5,Manpreet Gony,16,16,60.0,443.0,17.0,3/34,26.05,7.38,21.17,0,0,2008,most_wickets
6,Piyush Chawla,15,15,46.5,389.0,17.0,3/25,22.88,8.3,16.52,0,0,2008,most_wickets
7,Albie Morkel,13,13,48.0,399.0,17.0,4/32,23.47,8.31,16.94,1,0,2008,most_wickets
8,Yo Mahesh,11,11,42.1,370.0,16.0,4/36,23.12,8.77,15.81,1,0,2008,most_wickets
9,Irfan Pathan,14,14,53.0,350.0,15.0,2/18,23.33,6.6,21.2,0,0,2008,most_wickets
10,MF Maharoof,10,10,36.0,249.0,15.0,3/34,16.6,6.91,14.4,0,0,2008,most_wickets
11,RP Singh,14,14,51.2,442.0,15.0,3/35,29.46,8.61,20.53,0,0,2008,most_wickets
12,Munaf Patel,15,15,55.0,420.0,14.0,3/17,30.0,7.63,23.57,0,0,2008,most_wickets
13,Siddharth Trivedi,15,15,48.0,399.0,13.0,2/25,30.69,8.31,22.15,0,0,2008,most_wickets
14,Zaheer Khan,11,11,42.0,357.0,13.0,3/38,27.46,8.5,19.38,0,0,2008,most_wickets
15,Glenn McGrath,14,14,54.0,357.0,12.0,4/29,29.75,6.61,27.0,1,0,2008,most_wickets
16,Ashish Nehra,14,14,44.5,348.0,12.0,3/13,29.0,7.76,22.41,0,0,2008,most_wickets
17,Umar Gul,6,6,22.3,184.0,12.0,4/23,15.33,8.17,11.25,1,0,2008,most_wickets
18,Shaun Pollock,13,13,46.0,301.0,11.0,3/12,27.36,6.54,25.09,0,0,2008,most_wickets
19,Muttiah Muralitharan,15,15,58.0,404.0,11.0,2/39,36.72,6.96,31.63,0,0,2008,most_wickets
20,Amit Mishra,6,6,19.5,142.0,11.0,5/17,12.9,7.15,10.81,0,1,2008,most_wickets
21,Pragyan Ojha,13,12,37.0,284.0,11.0,2/18,25.81,7.67,20.18,0,0,2008,most_wickets
22,Dhawal Kulkarni,10,10,29.3,236.0,11.0,3/33,21.45,8.0,16.09,0,0,2008,most_wickets
23,Dwayne Bravo,9,9,28.3,232.0,11.0,3/24,21.09,8.14,15.54,0,0,2008,most_wickets
24,Praveen Kumar,13,13,44.4,366.0,11.0,3/23,33.27,8.19,24.36,0,0,2008,most_wickets
25,Lakshmipathy Balaji,9,9,33.0,286.0,11.0,5/24,26.0,8.66,18.0,0,1,2008,most_wickets
26,Vikram Singh,13,13,48.0,420.0,11.0,3/29,38.18,8.75,26.18,0,0,2008,most_wickets
27,Dale Steyn,10,10,38.0,252.0,10.0,3/27,25.2,6.63,22.8,0,0,2008,most_wickets
28,Dilhara Fernando,5,5,20.0,160.0,10.0,4/18,16.0,8.0,12.0,1,0,2008,most_wickets
29,Shahid Afridi,10,10,30.0,225.0,9.0,3/28,25.0,7.5,20.0,0,0,2008,most_wickets
30,Ashok Dinda,13,12,38.0,258.0,8.0,3/33,32.25,6.78,28.5,0,0,2008,most_wickets
31,Ishant Sharma,13,13,43.1,331.0,8.0,2/9,41.37,7.66,32.37,0,0,2008,most_wickets
32,Ajit Agarkar,9,9,26.0,207.0,8.0,3/25,25.87,7.96,19.5,0,0,2008,most_wickets
33,Yusuf Pathan,16,13,28.1,230.0,8.0,3/22,28.75,8.16,21.12,0,0,2008,most_wickets
34,Mohammad Asif,8,8,32.0,296.0,8.0,2/19,37.0,9.25,24.0,0,0,2008,most_wickets
35,Joginder Sharma,8,7,24.4,239.0,8.0,2/27,29.87,9.68,18.5,0,0,2008,most_wickets
36,Makhaya Ntini,9,9,35.0,242.0,7.0,4/21,34.57,6.91,30.0,1,0,2008,most_wickets
37,Anil Kumble,10,10,38.2,304.0,7.0,3/14,43.42,7.93,32.85,0,0,2008,most_wickets
38,James Hopes,11,11,28.0,276.0,7.0,2/2,39.42,9.85,24.0,0,0,2008,most_wickets
39,Palani Amarnath,6,6,22.0,236.0,7.0,2/29,33.71,10.72,18.85,0,0,2008,most_wickets
40,Sourav Ganguly,13,7,20.0,128.0,6.0,2/21,21.33,6.4,20.0,0,0,2008,most_wickets
41,Rajat Bhatia,9,9,22.0,183.0,6.0,2/17,30.5,8.31,22.0,0,0,2008,most_wickets
42,Laxmi Ratan Shukla,13,9,12.0,124.0,6.0,3/6,20.66,10.33,12.0,0,0,2008,most_wickets
43,Dwayne Smith,4,4,11.0,83.0,5.0,3/26,16.6,7.54,13.2,0,0,2008,most_wickets
44,Shoaib Akhtar,3,3,7.0,54.0,5.0,4/11,10.8,7.71,8.4,1,0,2008,most_wickets
45,Vinay Kumar,8,8,23.0,182.0,5.0,3/27,36.4,7.91,27.6,0,0,2008,most_wickets
46,Harbhajan Singh,3,3,10.0,82.0,5.0,3/32,16.4,8.2,12.0,0,0,2008,most_wickets
47,Rohan Raje,6,6,16.2,137.0,5.0,2/16,27.4,8.38,19.6,0,0,2008,most_wickets
48,Chaminda Vaas,5,5,17.0,145.0,5.0,2/9,29.0,8.52,20.4,0,0,2008,most_wickets
49,Pradeep Sangwan,7,7,24.0,215.0,5.0,2/29,43.0,8.95,28.8,0,0,2008,most_wickets
50,Brett Lee,4,4,16.0,112.0,4.0,1/9,28.0,7.0,24.0,0,0,2008,most_wickets
51,Sanath Jayasuriya,14,8,21.0,159.0,4.0,3/14,39.75,7.57,31.5,0,0,2008,most_wickets
52,Paidikalva Vijaykumar,9,9,25.2,199.0,4.0,1/17,49.75,7.85,38.0,0,0,2008,most_wickets
53,Sanjay Bangar,11,9,25.0,219.0,4.0,2/34,54.75,8.76,37.5,0,0,2008,most_wickets
54,Jacques Kallis,11,11,34.2,311.0,4.0,2/39,77.75,9.05,51.5,0,0,2008,most_wickets
55,Dominic Thornely,6,4,7.0,40.0,3.0,2/7,13.33,5.71,14.0,0,0,2008,most_wickets
56,Scott Styris,8,8,27.0,199.0,3.0,1/24,66.33,7.37,54.0,0,0,2008,most_wickets
57,Ramesh Powar,5,5,12.0,91.0,3.0,2/22,30.33,7.58,24.0,0,0,2008,most_wickets
58,Murali Kartik,6,5,14.4,127.0,3.0,3/17,42.33,8.65,29.33,0,0,2008,most_wickets
59,Yuvraj Singh,15,6,9.0,83.0,3.0,2/12,27.66,9.22,18.0,0,0,2008,most_wickets
60,Jacob Oram,4,4,16.0,149.0,3.0,3/32,49.66,9.31,32.0,0,0,2008,most_wickets
61,Gajendra Singh,4,4,14.0,141.0,3.0,1/33,47.0,10.07,28.0,0,0,2008,most_wickets
62,Virender Sehwag,14,7,11.0,133.0,3.0,1/2,44.33,12.09,22.0,0,0,2008,most_wickets
63,Daniel Vettori,2,2,8.0,54.0,2.0,1/19,27.0,6.75,24.0,0,0,2008,most_wickets
64,Dimitri Mascarenhas,1,1,4.0,29.0,2.0,2/29,14.5,7.25,12.0,0,0,2008,most_wickets
65,Balachandra Akhil,7,6,17.2,134.0,2.0,2/17,67.0,7.73,52.0,0,0,2008,most_wickets
66,Virat Kohli,13,4,7.4,61.0,2.0,2/25,30.5,7.95,23.0,0,0,2008,most_wickets
67,Nuwan Zoysa,3,3,11.0,99.0,2.0,1/30,49.5,9.0,33.0,0,0,2008,most_wickets
68,Venugopal Rao,11,7,14.0,137.0,2.0,2/25,68.5,9.78,42.0,0,0,2008,most_wickets
69,Siddharth Chitnis,3,2,6.0,60.0,2.0,2/40,30.0,10.0,18.0,0,0,2008,most_wickets
70,Shoaib Malik,7,5,8.3,85.0,2.0,1/6,42.5,10.0,25.5,0,0,2008,most_wickets
71,David Hussey,13,5,13.0,130.0,2.0,1/23,65.0,10.0,39.0,0,0,2008,most_wickets
72,Musavir Khote,4,2,5.0,51.0,2.0,2/29,25.5,10.2,15.0,0,0,2008,most_wickets
73,Doddapaneni Kalyankrishna,3,3,8.0,87.0,2.0,1/30,43.5,10.87,24.0,0,0,2008,most_wickets
74,Tillakaratne Dilshan,7,1,1.0,3.0,1.0,1/3,3.0,3.0,6.0,0,0,2008,most_wickets
75,Mohammad Hafeez,8,2,5.0,24.0,1.0,1/8,24.0,4.8,30.0,0,0,2008,most_wickets
76,Ajantha Mendis,1,1,4.0,24.0,1.0,1/24,24.0,6.0,24.0,0,0,2008,most_wickets
77,Rohit Sharma,13,1,4.0,25.0,1.0,1/25,25.0,6.25,24.0,0,0,2008,most_wickets
78,PM Sarvesh Kumar,2,2,5.0,42.0,1.0,1/18,42.0,8.4,30.0,0,0,2008,most_wickets
79,Sunil Joshi,4,4,9.1,82.0,1.0,1/27,82.0,8.94,55.0,0,0,2008,most_wickets
80,Suresh Raina,16,2,3.2,30.0,1.0,1/20,30.0,9.0,20.0,0,0,2008,most_wickets
81,Dwaraka Ravi Teja,7,1,2.0,19.0,1.0,1/19,19.0,9.5,12.0,0,0,2008,most_wickets
82,Abhishek Nayar,14,5,7.0,68.0,1.0,1/18,68.0,9.71,42.0,0,0,2008,most_wickets
83,Dinesh Salunkhe,6,5,7.5,78.0,1.0,1/21,78.0,9.95,47.0,0,0,2008,most_wickets
84,Ashley Noffke,1,1,4.0,40.0,1.0,1/40,40.0,10.0,24.0,0,0,2008,most_wickets
85,Andre Nel,1,1,3.0,31.0,1.0,1/31,31.0,10.33,18.0,0,0,2008,most_wickets
