player,opponent,opp_sr,opp_runs,opp_6s
David Hussey,PBKS,154.34,142.0,8.0
David Hussey,RCB,172.58249999999998,157.0,11.0
David Hussey,RR,140.0,42.0,2.0
David Hussey,SRH,151.51,100.0,4.0
David Miller,CSK,163.95555555555555,491.0,24.0
David Miller,DC,146.0175,368.0,16.0
David Miller,KKR,159.635,227.0,14.0
David Miller,LSG,125.58999999999999,112.0,6.0
David Miller,MI,162.518,158.0,12.0
David Miller,PBKS,150.0,6.0,0.0
David Miller,PWI,195.12,160.0,10.0
David Miller,RCB,214.19111111111113,486.0,27.0
David Miller,RR,187.91199999999998,436.0,29.0
David Miller,SRH,145.87,106.0,9.0
David Warner,CSK,180.1,382.0,14.0
David Warner,DC,152.49875,412.0,12.0
David Warner,DEC,171.078,383.0,23.0
David Warner,GL,155.20857142857145,505.0,16.0
David Warner,KKR,165.2125,1262.0,57.0
David Warner,MI,150.66666666666666,864.0,35.0
David Warner,PBKS,162.53727272727272,1427.0,59.0
David Warner,PWI,185.31199999999998,213.0,14.0
David Warner,RCB,178.9321052631579,1237.0,70.0
David Warner,RR,157.79444444444445,453.0,10.0
David Warner,SRH,158.62,184.0,6.0
David Wiese,MI,188.0,94.0,4.0
David Willey,KKR,64.28,18.0,0.0
Davy Jacobs,DEC,160.0,32.0,1.0
Davy Jacobs,RCB,137.5,22.0,2.0
Debabrata Das,CSK,105.515,46.0,4.0
Debabrata Das,DC,200.0,18.0,2.0
Debabrata Das,MI,140.14499999999998,52.0,3.0
Debabrata Das,RR,155.0,31.0,2.0
Deepak Chahar,DC,233.33,14.0,2.0
Deepak Chahar,PBKS,195.0,39.0,3.0
Deepak Hooda,CSK,177.22,88.0,6.0
Deepak Hooda,DC,172.7775,180.0,8.0
Deepak Hooda,GT,124.04,137.0,4.0
Deepak Hooda,KKR,155.07666666666668,103.0,6.0
Deepak Hooda,MI,202.7775,53.0,4.0
Deepak Hooda,PBKS,163.4875,117.0,9.0
Deepak Hooda,RCB,146.33,103.0,8.0
Deepak Hooda,RPS,280.0,14.0,2.0
Deepak Hooda,RR,172.772,271.0,16.0
Deepak Hooda,SRH,154.54,102.0,6.0
Devdutt Padikkal,CSK,183.32999999999998,208.0,10.0
Devdutt Padikkal,DC,150.102,254.0,8.0
Devdutt Padikkal,GT,140.0,56.0,4.0
Devdutt Padikkal,KKR,135.26333333333335,80.0,3.0
Devdutt Padikkal,LSG,177.7733333333333,107.0,4.0
Devdutt Padikkal,MI,126.888,204.0,5.0
